Kanji,Português,On,Kun
数,"número, contável",スウ,かず
多,muito,タ,おおい
少,pouco,ショウ,"すくない, すこし"
万,dez mil,マン,よろず
半,metade,ハン,なかば
形,formato,ケイ,かたち
太,gordura,タイ,ふとい
細,magro,サイ,ほそい
広,amplo,コウ,ひろい
長,extenso,チョウ,ながい
点,ponto,テン,
丸,círculo,ガン,まる
交,mistura,コウ,まじわる
光,luz,コウ,ひかり
角,ângulo・canto,カク,"かど・つの・すみ"
計,medida,ケイ,はかる
直,"correto, direito","チョク, ジキ","ただち, なおす"
線,linha,セン,すじ
矢,flecha,シ,や
弱,fraco,ジャク,よわい
強,forte,キョウ,つよい
高,alto,コウ,たかい
同,similar,ドウ,おなじ
親,"figura paterna",シン,おや
母,mãe,ボ,"はは, かあ"
父,pai,フ,"ちち, とう"
姉,"irmã mais velha",シ,あね
兄,"irmão mais velho",ケイ,あに
弟,"irmão mais novo",テイ,おとうと
妹,"irmã mais nova",マイ,いもうと
自,"si próprio","ジ, シ",みずから
友,amigo,ユウ,とも
体,corpo,タイ,からだ
毛,cabelo,モウ,け
頭,cabeça,トウ,あたま
顔,face,ガン,かお
首,pescoço,シュ,くび
心,coração,シン,こころ
時,tempo,ジ,とき
曜,"dia da semana",ヨウ,ようび
朝,manhã,チョウ,あさ
昼,"período do dia",チュウ,ひる
夜,noite,ヤ,よる
分,"minuto, compreender","フン, ブン",わかる
週,semana,シュウ,-
春,primavera,シュン,はる
夏,verão,カ,なつ
秋,outono,シュウ,あき
冬,inverno,トウ,ふゆ
今,agora,コン,いま
新,novo,シン,あたらしい
古,velho,コ,ふるい
間,intervalo,"カン, ケン","ま, あいだ"
方,direção,ホウ,かた
北,norte,ホク,きた
南,sul,ナン,みなみ
東,leste,トウ,"ひがし, あずま"
西,oeste,"セイ, サイ",にし
遠,longe,エン,とおい
近,perto,キン,ちかい
前,"antes, defronte",ゼン,まえ
後,"depois, atrás","ゴ, コウ","のち, うしろ, あと, おくれる"
内,dentro,ナイ,うち
外,fora,"ガイ, ゲ","そと, ほか, はずす"
場,lugar,ジョウ,ば
地,chão,"チ, ジ",-
国,país,コク,くに
園,jardim,エン,その
谷,vale,コク,たに
野,campo,ヤ,の
原,"prado, campina",ゲン,はら
里,vilarejo,リ,さと
市,cidade,シ,いち
京,capital,"キョウ, ケイ",みやこ
風,vento,フウ,かぜ
雪,neve,セツ,ゆき
雲,nuvem,ウン,くも
池,lagoa,チ,いけ
海,mar,カイ,うみ
岩,rocha,ガン,いわ
星,estrela,セイ,ほし
室,sala,シツ,むろ
戸,porta,コ,"と, べ"
家,casa,"カ, ケ",いえ
寺,"templo budista",ジ,てら
通,trespassar,ツウ,とおる
門,portão,モン,かど
道,estrada,ドウ,みち
話,falar,ワ,はなし
言,dizer,"ゲン, ゴン","いう, こと"
答,responder,トウ,こたえる
声,voz,セイ,こえ
聞,escutar,"ブン, モン",きく
語,linguagem,ゴ,かたる
読,ler,ドク,よむ
書,escrever,ショ,かく
記,anotar,キ,しるす
紙,papel,シ,かみ
画,figura,"ガ, カク","えが.く"
絵,imagem,カイ,え
図,desenho,ズ,はかる
工,artifício,"コウ, ク, グ",-
教,ensinar,キョウ,おしえる
晴,ensolarado,セイ,はれ
思,pensar,シ,おもう
考,refletir,コウ,かんがえる
知,saber,チ,しる
才,habilidade,"サイ, ザイ","わずかに, ざえ"
理,razão,リ,ことわり
算,calcular,サン,
作,fazer,サク,つくる
元,origem,"ゲン, ガン",もと
食,comer,ショク,たべる
肉,carne,ニク,
馬,cavalo,バ,"うま, ま"
牛,vaca,ギュウ,うし
魚,peixe,ギョ,"うお, さかな"
鳥,pássaro,チョウ,とり
羽,pena,ウ,"は, はね"
鳴,pio,メイ,なく
麦,trigo,バク,むぎ
米,arroz,"ベイ, マイ",こめ
茶,chá,"チャ, サ",
色,cor,ショク,いろ
黄,amarelo,オウ,き
黒,preto,コク,くろ
来,vir,ライ,くる
行,ir,"コウ, ギョウ","いく, ゆく, おこなう"
帰,retornar ao lar,キ,かえる
歩,andar,ホ,あるく
走,correr,ソウ,はしる
止,parar,シ,とまる
活,ativo,カツ,いきる
店,loja,テン,みせ
買,comprar,バイ,かう
売,vender,バイ,うる
午,"meio-dia",ゴ,うま
汽,vapor,キ,-
弓,arco,キュウ,ゆみ
回,"-vezes, remexer",カイ,"まわる, まわす"
会,associação,カイ,え
組,time,ソ,くみ
船,barco,セン,ふね
明,luminoso,メイ,あかるい
社,companhia,シャ,やしろ
切,cortar,セツ,きる
電,eletricidade,デン,-
毎,todo,マイ,"ごと, -ごとに"
合,ajustar,ゴウ,あう
当,bater,トウ,あたる
台,alicerce,"ダイ, タイ",
楽,prazer,ラク,たのしい
公,público,コウ,おおやけ
引,"puxar, tirar",イン,ひく
科,seção,カ,-
歌,canção,カ,うた
刀,espada,トウ,かたな
番,"número, identificável",バン,
用,uso,ヨウ,もちいる
何,quê,カ,"なに, なん"
